"","bat","cam","dis","lte","pri","bat1","bat2"
"54","2070","HD","5","Nein","150","8h","6h - 10h"
"70","2070","4K","6","Nein","150","8h","6h - 10h"
"181","1570","SD","4","Nein","450","5h","3:45h - 6:15h"
"110","2070","SD","4","Nein","300","8h","6h - 10h"
"224","4140","HD","4","Ja","600","14h","10:30h - 17:30h"
"79","3250","HD","4","Ja","300","11h","8:15h - 13:45h"
"243","3250","SD","6","Ja","600","11h","8:15h - 13:45h"
"288","4140","4K","6","Nein","600","14h","10:30h - 17:30h"
"203","3250","4K","5","Nein","450","11h","8:15h - 13:45h"
"16","4140","SD","5","Ja","150","14h","10:30h - 17:30h"
"93","1570","4K","5","Ja","300","5h","3:45h - 6:15h"
"173","1570","HD","6","Ja","450","5h","3:45h - 6:15h"
"541","2070","HD","5","Nein","150","8h","6h - 10h"
"701","2070","4K","6","Nein","150","8h","6h - 10h"
"1811","1570","SD","4","Nein","450","5h","3:45h - 6:15h"
"1101","2070","SD","4","Nein","300","8h","6h - 10h"
"2241","4140","HD","4","Ja","600","14h","10:30h - 17:30h"
"791","3250","HD","4","Ja","300","11h","8:15h - 13:45h"
"2431","3250","SD","6","Ja","600","11h","8:15h - 13:45h"
"2881","4140","4K","6","Nein","600","14h","10:30h - 17:30h"
"2031","3250","4K","5","Nein","450","11h","8:15h - 13:45h"
"161","4140","SD","5","Ja","150","14h","10:30h - 17:30h"
"931","1570","4K","5","Ja","300","5h","3:45h - 6:15h"
"1731","1570","HD","6","Ja","450","5h","3:45h - 6:15h"
